,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
29,Busselton,28,AU,1567741491,40,-33.64,115.35,64.99,13.09
30,Tezu,71,IN,1567741492,63,27.93,96.16,82.78,2.73
31,Cidreira,0,BR,1567741492,73,-30.17,-50.22,55.04,12.19
32,Anloga,75,GH,1567741492,83,5.79,0.9,78.8,13.87
33,Baiyin,0,CN,1567741493,60,36.55,104.13,69.8,4.47
34,Albany,40,US,1567741206,87,42.65,-73.75,57.99,3.18
35,Fort Wellington,0,GY,1567741493,96,6.4,-57.6,75.7,2.75
36,Severo-Kurilsk,100,RU,1567741493,98,50.68,156.12,50.92,15.57
37,Mataura,93,NZ,1567741493,66,-46.19,168.86,48.99,10.0
38,Port Alfred,0,ZA,1567741494,80,-33.59,26.89,54.0,5.01
39,Odienne,79,CI,1567741494,95,9.51,-7.57,69.55,0.31
40,Yele,78,CM,1567741495,91,10.73,13.59,73.24,4.92
41,Cape Town,0,ZA,1567741496,87,-33.93,18.42,57.99,1.12
42,Cartagena,40,ES,1567741496,69,37.63,-1.0,77.0,5.82
43,Yueyang,0,CN,1567741496,52,29.36,113.12,86.18,7.2
44,Upernavik,0,GL,1567741496,74,72.79,-56.15,38.53,7.72
45,Avezzano,33,IT,1567741497,82,42.03,13.43,66.99,3.22
46,Avarua,73,CK,1567741497,73,-21.21,-159.78,75.2,19.46
47,Iquique,75,CL,1567741393,72,-20.22,-70.14,60.8,2.24
48,Ponta do Sol,72,BR,1567741498,87,-20.63,-46.0,63.45,8.37
49,Souillac,0,FR,1567741498,76,45.6,-0.6,54.0,2.24
50,Arraial do Cabo,100,BR,1567741498,84,-22.97,-42.02,64.99,6.89
51,Santa Isabel do Rio Negro,100,BR,1567741498,98,-0.41,-65.02,70.48,1.7
52,Hithadhoo,68,MV,1567741214,76,-0.6,73.08,83.48,16.49
53,Luderitz,0,NA,1567741499,81,-26.65,15.16,53.6,6.93
54,Am Timan,90,TD,1567741499,94,11.04,20.28,71.08,5.59
55,Ixtapa,75,MX,1567741312,74,20.71,-105.21,86.0,6.93
56,Kapaa,20,US,1567741499,66,22.08,-159.32,89.6,18.34
57,Paraiso,20,BR,1567741500,88,-0.03,-51.17,82.4,9.17
58,Airai,99,TL,1567741500,54,-8.93,125.41,81.52,6.89
59,Ketchikan,75,US,1567741244,87,55.34,-131.65,60.8,11.41
60,Ruidoso,1,US,1567741500,37,33.33,-105.67,82.4,8.05
61,Port Hardy,75,CA,1567741500,93,50.7,-127.42,55.4,6.93
62,Nago,75,IT,1567741501,88,45.88,10.89,71.01,8.05
63,Davidson,0,CA,1567741501,65,51.26,-105.98,60.01,1.01
64,Alice Springs,0,AU,1567741501,32,-23.7,133.88,66.2,13.87
65,Qaanaaq,97,GL,1567741501,60,77.48,-69.36,29.37,6.91
66,Hermanus,0,ZA,1567741502,86,-34.42,19.24,55.0,4.0
67,Hobart,75,AU,1567741247,81,-42.88,147.33,51.8,6.93
68,Oktyabrskiy,0,RU,1567741503,82,55.61,37.97,59.0,4.47
69,Traverse City,20,US,1567741305,82,44.76,-85.62,62.6,11.92
70,Polunochnoye,0,RU,1567741504,85,60.87,60.43,47.03,1.9
71,Ilulissat,100,GL,1567741504,69,69.22,-51.1,32.0,1.12
72,Kruisfontein,0,ZA,1567741505,85,-34.0,24.73,45.99,8.25
73,Chuy,87,UY,1567741505,74,-33.69,-53.46,50.72,10.11
74,Iralaya,100,HN,1567741505,91,15.0,-83.23,77.56,1.99
75,Caravelas,80,BR,1567741505,79,-17.73,-39.27,74.84,6.96
76,Coahuayana,100,MX,1567741506,86,18.62,-100.35,74.91,1.77
77,Hervey Bay,0,AU,1567741506,18,-25.3,152.85,88.0,21.92
78,Pangnirtung,29,CA,1567741506,65,66.15,-65.72,35.62,3.31
79,Nantucket,1,US,1567741507,87,41.28,-70.1,57.2,4.7
80,Kibala,20,TD,1567741508,94,9.11,18.35,71.6,6.93
81,East London,57,ZA,1567741509,80,-33.02,27.91,52.16,7.07
82,Tokur,8,RU,1567741509,49,53.13,132.9,73.94,1.25
83,Acari,2,BR,1567741509,66,-6.44,-36.64,74.26,12.57
84,Atuona,18,PF,1567741510,67,-9.8,-139.03,79.43,6.24
85,Kaitangata,100,NZ,1567741510,56,-46.28,169.85,48.0,8.01
86,Yellowknife,75,CA,1567741223,87,62.45,-114.38,48.2,3.36
87,Ushuaia,87,AR,1567741510,90,-54.81,-68.31,27.32,1.77
88,Bria,100,CF,1567741511,95,6.54,21.99,67.77,1.99
89,Emerald,0,AU,1567741511,8,-23.53,148.16,91.99,14.99
90,Saint George,20,GR,1567741440,82,39.45,22.34,66.2,0.22
91,Sistranda,75,NO,1567741511,76,63.73,8.83,50.0,16.11
92,Karlstad,0,SE,1567741511,100,59.38,13.5,43.0,3.36
93,Ibra,100,OM,1567741512,30,22.69,58.55,88.54,3.8
94,Isa Khel,0,AF,1567741512,25,36.67,68.84,76.91,4.16
95,Barrow,100,AR,1567741513,74,-38.31,-60.23,37.56,8.3
96,Athabasca,0,CA,1567741513,70,54.72,-113.29,53.51,4.43
97,Hasaki,40,JP,1567741513,66,35.73,140.83,89.6,5.82
98,Ribeira Grande,100,PT,1567741513,81,38.52,-28.7,70.61,13.76
99,Guadalupe Victoria,88,MX,1567741514,70,21.68,-105.33,85.15,4.32
100,Namibe,100,AO,1567741514,91,-15.19,12.15,63.82,6.17
101,Muisne,73,EC,1567741514,86,0.61,-80.02,72.0,11.56
102,Banda Aceh,35,ID,1567741514,82,5.56,95.32,82.33,15.95
103,Jinchang,0,CN,1567741515,40,38.52,102.19,72.59,6.85
104,Rio Grande,0,BR,1567741463,92,-32.03,-52.1,48.99,5.23
105,Pivijay,40,CO,1567741515,88,10.46,-74.62,82.99,6.93
106,Omboue,100,GA,1567741515,85,-1.57,9.26,74.62,12.1
107,Uruacu,0,BR,1567741516,17,-14.52,-49.14,80.96,10.65
108,Los Llanos de Aridane,100,ES,1567741516,78,28.66,-17.92,71.6,8.05
109,Mareeba,23,AU,1567741516,32,-16.99,145.42,84.99,8.05
110,Alofi,75,NU,1567741455,88,-19.06,-169.92,78.8,5.82
111,Mackay,20,CA,1567741517,55,53.65,-115.58,60.8,4.7
112,Hun,0,BE,1567741517,93,50.34,4.87,46.4,3.36
113,Lavrentiya,100,RU,1567741517,81,65.58,-170.99,47.37,4.07
114,Seara,100,BR,1567741517,93,-27.15,-52.31,54.9,3.89
115,Mangalam,40,IN,1567741518,62,12.6,80.07,86.0,8.05
116,Hofn,59,IS,1567741518,93,64.25,-15.21,31.48,2.44
117,Konya,0,TR,1567741447,45,37.87,32.48,64.4,4.7
118,Moron,93,HT,1567741518,83,18.56,-74.26,80.82,3.69
119,Necochea,100,AR,1567741518,86,-38.55,-58.74,36.0,1.01
120,Ancud,90,CL,1567741519,100,-41.87,-73.83,42.8,8.14
121,Akureyri,90,IS,1567741520,93,65.68,-18.09,44.6,2.24
122,Port Elizabeth,90,US,1567741521,77,39.31,-74.98,72.0,8.05
123,Clyde River,90,CA,1567741521,100,70.47,-68.59,39.2,4.7
124,Luena,0,AO,1567741522,30,-11.78,19.91,59.31,2.21
125,Tasiilaq,67,GL,1567741522,66,65.61,-37.64,42.8,4.7
126,Nagram,75,IN,1567741522,89,26.62,81.14,87.8,8.05
127,Port Macquarie,0,AU,1567741523,42,-31.43,152.91,86.0,10.29
128,Road Town,1,VG,1567741523,83,18.42,-64.62,82.0,5.82
129,Yozgat,7,TR,1567741523,59,39.82,34.81,55.49,2.77
130,Huilong,100,CN,1567741523,79,31.15,106.5,75.99,2.77
131,Santa Isabel,1,MX,1567741524,30,32.63,-115.58,98.6,8.05
132,Saskylakh,100,RU,1567741524,87,71.97,114.09,44.31,12.41
133,Dabou,20,CI,1567741524,94,5.32,-4.37,77.0,6.93
134,Cuencame,100,MX,1567741524,81,24.87,-103.7,68.05,4.65
135,Petropavlovsk-Kamchatskiy,75,RU,1567741525,67,53.05,158.65,59.0,2.24
136,Mpongwe,0,ZM,1567741525,55,-13.51,28.16,60.75,5.84
137,Sao Filipe,100,CV,1567741525,84,14.9,-24.5,79.7,12.93
138,Norman Wells,75,CA,1567741527,81,65.28,-126.83,50.0,5.82
139,Hambantota,40,LK,1567741527,100,6.12,81.12,80.6,4.7
140,Ukiah,1,US,1567741527,56,39.15,-123.21,73.0,4.7
141,Mezen,100,RU,1567741527,83,65.85,44.24,51.44,13.04
142,Punta Alta,90,AR,1567741527,72,-27.46,-55.82,59.0,6.93
143,Kaeo,100,NZ,1567741528,100,-35.1,173.78,55.0,19.86
144,Nikolskoye,0,RU,1567741528,87,59.7,30.79,57.99,4.47
145,Beroroha,6,MG,1567741528,51,-21.68,45.17,58.77,2.33
146,Naze,100,NG,1567741529,96,5.43,7.07,73.45,0.87
147,San Cristobal,68,HN,1567741529,87,14.68,-86.92,67.73,6.2
148,Itarema,12,BR,1567741529,91,-2.92,-39.92,73.9,4.81
149,Great Yarmouth,100,GB,1567741529,87,52.61,1.73,54.0,9.17
150,Cockburn Town,0,TC,1567741529,79,21.46,-71.14,83.43,15.52
151,Mount Gambier,75,AU,1567741530,87,-37.83,140.78,50.0,20.8
152,Swellendam,0,ZA,1567741530,76,-34.02,20.44,50.0,6.93
153,Ostrovnoy,100,RU,1567741530,87,68.05,39.51,53.67,21.63
154,Muroran,75,JP,1567741531,78,42.32,140.98,77.0,5.82
155,Tomatlan,24,MX,1567741531,82,19.93,-105.25,81.01,7.65
156,Chilca,56,PE,1567741531,65,-13.22,-72.34,44.6,1.12
157,Acapulco,75,MX,1567741473,74,16.86,-99.88,84.2,4.7
158,Quatre Cocos,40,MU,1567741532,93,-20.21,57.76,72.0,5.82
159,General Pico,100,AR,1567741533,66,-35.66,-63.75,42.76,11.32
160,Puerto Escondido,75,MX,1567741533,70,15.86,-97.07,84.2,3.36
161,Pangoa,19,PE,1567741534,89,-12.12,-73.0,66.42,2.28
162,Cabo San Lucas,75,MX,1567741401,74,22.89,-109.91,86.0,10.29
163,Nizwa,100,OM,1567741534,26,22.93,57.53,88.38,3.36
164,Puerto Colombia,40,CO,1567741534,88,10.99,-74.96,82.99,6.93
165,Kita,20,JP,1567741535,70,35.76,139.74,95.0,9.17
166,Xai-Xai,89,MZ,1567741535,78,-25.04,33.64,66.92,11.81
167,Chifeng,25,CN,1567741535,32,42.27,118.96,77.94,4.25
168,Marzuq,100,YE,1567741535,32,14.4,46.47,79.97,0.6
169,Meulaboh,49,ID,1567741536,82,4.14,96.13,81.37,7.49
170,Tamiahua,93,MX,1567741536,85,21.28,-97.45,83.59,7.11
171,Ahipara,100,NZ,1567741536,100,-35.17,173.16,54.0,39.59
172,Dakar,40,SN,1567741537,88,14.69,-17.45,80.6,10.51
173,Mokhsogollokh,100,RU,1567741538,86,61.4,128.95,52.63,5.23
174,Ubinskoye,90,RU,1567741538,77,55.31,79.68,51.85,12.93
175,Huarmey,62,PE,1567741539,93,-10.07,-78.15,60.31,13.24
176,Fairbanks,1,US,1567741540,42,64.84,-147.72,64.4,4.7
177,Aleppo,29,SY,1567741540,97,36.2,37.17,66.61,5.77
178,Taltal,0,CL,1567741540,81,-25.41,-70.49,50.18,2.28
179,Inuvik,90,CA,1567741540,93,68.36,-133.71,51.8,2.91
180,Dikson,61,RU,1567741540,96,73.51,80.55,42.4,15.43
181,Durres,40,AL,1567741494,88,41.32,19.44,66.2,4.7
182,Jhinjhak,93,IN,1567741541,63,26.58,79.75,88.97,9.57
183,Kavieng,95,PG,1567741541,77,-2.57,150.8,81.82,16.58
184,Kerema,3,PG,1567741541,77,-7.96,145.78,76.32,10.0
185,Pevek,41,RU,1567741542,71,69.7,170.27,43.86,4.41
186,Lazaro Cardenas,75,MX,1567741542,53,28.39,-105.62,73.99,5.82
187,Inhambane,20,MZ,1567741542,93,-23.87,35.38,63.64,5.23
188,Tuatapere,48,NZ,1567741542,66,-46.13,167.69,48.99,10.0
189,Faya,0,SA,1567741542,36,18.39,42.45,64.4,1.66
190,Saryozek,100,KZ,1567741543,57,44.36,77.98,59.88,17.52
191,Batemans Bay,37,AU,1567741543,84,-35.71,150.18,64.99,17.0
192,Salalah,90,OM,1567741543,100,17.01,54.1,77.0,4.7
193,Bratsk,75,RU,1567741543,93,56.15,101.63,42.8,8.95
194,Gizo,20,IL,1567741544,83,31.8,34.94,75.2,5.82
195,Dwarka,20,IN,1567741544,79,28.58,77.04,91.0,8.05
196,Lagoa,0,PT,1567741544,73,37.14,-8.45,73.4,6.93
197,Castro,90,CL,1567741544,100,-42.48,-73.76,42.8,3.85
198,Cherskiy,87,RU,1567741545,54,68.75,161.3,50.18,10.11
199,Te Anau,86,NZ,1567741545,74,-45.41,167.72,42.3,6.22
200,Mar del Plata,96,AR,1567741546,77,-46.43,-67.52,37.17,8.88
201,Lundazi,68,ZM,1567741546,66,-12.29,33.17,60.69,9.46
202,Victoria,75,BN,1567741547,79,5.28,115.24,87.8,3.36
203,Torbay,20,CA,1567741547,93,47.66,-52.73,62.01,14.99
204,Grindavik,75,IS,1567741547,100,63.84,-22.43,50.0,7.83
205,Erenhot,7,CN,1567741547,18,43.65,111.97,82.2,10.33
206,Port Moresby,0,PG,1567741547,73,-9.47,147.16,75.7,19.71
207,Najran,0,SA,1567741548,20,17.54,44.22,77.0,4.7
208,Port Pirie,75,AU,1567741548,42,-33.18,138.01,62.6,23.04
209,Havre-Saint-Pierre,40,CA,1567741548,76,50.23,-63.6,48.2,17.22
210,Felipe Carrillo Puerto,0,MX,1567741548,81,19.58,-88.05,79.9,5.23
211,Leonding,75,AT,1567741549,93,48.28,14.25,55.0,6.93
212,Sept-Iles,5,CA,1567741501,66,50.2,-66.38,48.2,11.41
213,Dawlatabad,0,AF,1567741549,26,36.41,64.91,71.62,9.01
214,New Norfolk,75,AU,1567741549,81,-42.78,147.06,51.8,6.93
215,Mata,0,PT,1567741550,61,40.68,-7.46,59.0,7.0
216,Sao Gotardo,23,BR,1567741550,63,-19.31,-46.05,71.01,7.0
217,Codrington,0,AU,1567741550,13,-28.95,153.24,93.2,13.87
218,Gornopravdinsk,78,RU,1567741550,79,60.06,69.92,51.46,4.97
219,Port-Cartier,5,CA,1567741551,66,50.03,-66.88,48.2,11.41
220,Surt,6,LY,1567741551,70,31.21,16.59,78.55,2.48
221,Prince Rupert,75,CA,1567741538,93,54.32,-130.32,57.2,3.36
222,Touros,0,BR,1567741551,83,-5.2,-35.46,73.4,6.93
223,Vao,59,EE,1567741552,92,59.1,26.19,54.43,9.33
224,Mapastepec,100,MX,1567741552,92,15.44,-92.9,75.36,4.81
225,Geraldton,90,CA,1567741552,100,49.72,-86.95,50.0,6.93
226,Atar,51,MR,1567741552,43,20.52,-13.05,91.27,5.64
227,Lata,74,IN,1567741553,83,30.78,78.62,50.29,4.0
228,Van Buren,20,US,1567741553,76,47.16,-67.94,55.4,4.07
229,Zyryanka,100,RU,1567741553,55,65.73,150.89,51.66,17.07
230,Kanigiri,100,IN,1567741553,72,15.41,79.51,80.22,11.56
231,Shiyan,0,CN,1567741554,55,32.65,110.78,81.79,2.91
232,Chandur,97,IN,1567741554,84,20.82,77.97,80.53,11.52
233,Lebu,45,ET,1567741554,84,8.96,38.73,56.44,3.09
234,Namatanai,92,PG,1567741554,81,-3.66,152.44,77.99,20.22
235,Oltu,0,TR,1567741555,96,40.55,42.0,49.59,1.3
236,Billings,20,US,1567741555,24,45.79,-108.5,78.8,5.82
237,Seduva,0,LT,1567741555,93,55.77,23.77,55.4,9.17
238,Wernigerode,2,DE,1567741555,93,51.83,10.79,48.99,1.99
239,Kamenka,0,MD,1567741556,91,48.03,28.7,46.0,2.89
240,Grand Gaube,40,MU,1567741556,93,-20.01,57.66,72.0,5.82
241,Bilibino,71,RU,1567741556,57,68.06,166.44,49.3,3.47
242,Faanui,50,PF,1567741404,79,-16.48,-151.75,75.24,24.36
243,Qalyub,0,EG,1567741556,65,30.18,31.21,80.6,3.36
244,San Jose,75,HN,1567741537,48,14.25,-87.96,82.4,5.82
245,Zhaoqing,0,CN,1567741557,67,23.05,112.47,86.45,4.94
246,Kodiak,1,US,1567741557,78,39.95,-94.76,78.01,9.17
247,Komsomolskiy,38,RU,1567741557,86,67.55,63.78,50.29,2.68
248,Cape Coast,33,GH,1567741558,93,5.11,-1.24,75.11,9.42
249,Benguela,29,AO,1567741558,92,-12.58,13.4,69.37,5.57
250,Ust-Omchug,99,RU,1567741558,62,61.13,149.63,50.86,4.81
251,Saint Anthony,1,US,1567741559,37,43.97,-111.68,82.4,6.93
252,Marsa Matruh,0,EG,1567741559,63,31.35,27.25,80.11,8.23
253,Coquimbo,0,CL,1567741559,87,-29.95,-71.34,48.2,6.93
254,Kotaparh,100,IN,1567741559,94,19.15,82.35,74.28,8.08
255,Yar-Sale,0,RU,1567741560,81,66.83,70.83,53.17,9.28
256,Estelle,0,FR,1567741560,42,43.97,3.47,64.4,10.29
257,Bani Walid,0,LY,1567741560,81,31.76,14.0,64.35,4.88
258,Thompson,90,CA,1567741561,81,55.74,-97.86,48.2,8.14
259,Salinopolis,0,BR,1567741561,79,-0.61,-47.36,80.29,14.88
260,Nemuro,75,JP,1567741562,65,43.32,145.57,80.6,2.24
261,Bathsheba,20,BB,1567741562,83,13.22,-59.52,80.6,4.7
262,Mehamn,75,NO,1567741562,87,71.03,27.85,48.2,4.7
263,Klaksvik,100,FO,1567741562,81,62.23,-6.59,48.2,3.36
264,Maniitsoq,44,GL,1567741563,76,65.42,-52.9,40.51,8.81
265,Hualmay,32,PE,1567741563,92,-11.1,-77.61,60.19,11.5
266,Iskateley,65,RU,1567741563,90,67.68,53.15,48.29,12.88
267,Jiuquan,65,CN,1567741563,29,39.73,98.49,70.63,6.53
268,Olden,100,NO,1567741564,85,61.84,6.81,44.01,1.99
269,Revelstoke,1,CA,1567741564,82,50.99,-118.19,64.4,2.77
270,Rondonopolis,0,BR,1567741564,24,-16.46,-54.64,78.55,4.47
271,Aklavik,90,CA,1567741565,93,68.22,-135.01,51.8,5.97
272,Vila Velha,75,BR,1567741566,74,-3.71,-38.6,80.6,9.17
273,Sao Miguel do Tapuio,20,BR,1567741566,44,-5.5,-41.32,77.43,3.85
274,Bograd,20,RU,1567741566,87,54.22,90.86,50.0,4.47
275,Sangar,0,RU,1567741567,47,63.92,127.47,57.11,2.37
276,Matara,0,BI,1567741567,64,-3.48,29.48,52.97,1.57
277,Kamaishi,40,JP,1567741567,66,39.28,141.86,86.0,3.36
278,Wanning,75,AT,1567741567,93,48.64,13.53,55.99,6.93
279,Muzhi,0,RU,1567741567,83,65.4,64.7,52.77,6.11
280,Artigas,0,BR,1567741568,83,-30.4,-56.46,46.6,16.53
281,San Patricio,100,PY,1567741568,95,-26.98,-56.83,54.81,6.26
282,Longyearbyen,75,NO,1567741568,80,78.22,15.63,39.2,21.92
283,Waingapu,29,ID,1567741568,59,-9.65,120.26,81.61,12.46
284,Iquitos,0,PE,1567741569,94,-3.75,-73.25,77.0,1.5
285,San Lorenzo,52,HN,1567741569,91,13.43,-87.45,75.87,2.48
286,Vengurla,75,IN,1567741569,94,15.86,73.64,77.0,18.34
287,Karaidel,0,RU,1567741570,93,55.83,56.91,44.55,7.45
288,Bulungu,88,CD,1567741570,59,-4.54,18.6,80.08,5.14
289,Tiarei,75,PF,1567741570,61,-17.53,-149.33,80.6,8.05
290,Tshikapa,43,CD,1567741570,52,-6.42,20.79,74.5,2.84
291,Fort Nelson,40,CA,1567741571,62,58.81,-122.69,59.0,2.24
292,Henties Bay,0,NA,1567741571,92,-22.12,14.28,54.0,1.01
293,Serenje,45,ZM,1567741571,53,-13.23,30.22,57.65,7.09
294,Lasa,75,CY,1567741572,83,34.92,32.53,75.2,4.7
295,Verkhnevilyuysk,78,RU,1567741572,58,63.45,120.31,54.09,4.94
296,Khani,40,GE,1567741572,93,41.96,42.96,64.4,1.12
297,Ampanihy,31,MG,1567741573,94,-24.69,44.75,64.58,7.45
298,Shingu,40,JP,1567741574,62,33.72,135.99,89.6,10.29
299,Berlevag,75,NO,1567741574,87,70.86,29.09,48.2,4.7
300,Lahaina,40,US,1567741574,58,20.87,-156.68,86.0,21.92
301,Mogadishu,75,SO,1567741574,74,2.04,45.34,78.8,13.87
302,Kavaratti,40,IN,1567741575,74,10.57,72.64,84.2,4.7
303,Gushikawa,75,JP,1567741575,83,26.35,127.87,84.2,21.92
304,Cockenzie,90,GB,1567741575,87,55.97,-2.97,55.99,20.8
305,Katsuura,40,JP,1567741575,59,33.93,134.5,89.6,20.8
306,Pahrump,75,US,1567741576,22,36.21,-115.98,89.01,5.97
307,Zhigansk,100,RU,1567741576,58,66.77,123.37,49.86,4.83
308,Nurota,0,UZ,1567741577,32,40.56,65.69,68.0,9.17
309,San Carlos,100,NI,1567741511,48,11.12,-84.78,71.01,11.99
310,Iqaluit,40,CA,1567741578,75,63.75,-68.52,44.6,4.7
311,Ciudad Real,0,ES,1567741578,46,38.99,-3.93,63.0,1.99
312,Lengshuitan,0,CN,1567741578,47,26.41,111.6,87.73,6.2
313,Harper,1,US,1567741578,78,30.3,-99.24,80.6,8.05
314,Bismarck,90,US,1567741348,77,46.81,-100.78,66.99,5.82
315,Nuuk,71,GL,1567741579,75,64.17,-51.74,42.8,17.22
316,Samarai,41,PG,1567741579,58,-10.62,150.67,76.46,9.44
317,Xian,0,ES,1567741579,76,42.76,-8.49,64.99,6.93
318,Camacupa,0,AO,1567741579,47,-12.02,17.48,58.39,3.6
319,Dutlwe,63,BW,1567741580,23,-23.98,23.93,65.08,10.18
320,Bowen,2,AU,1567741581,13,-20.01,148.25,89.6,5.82
321,Yzeure,0,FR,1567741581,76,46.57,3.36,50.0,4.7
322,Nanortalik,100,GL,1567741581,84,60.14,-45.24,44.62,12.62
323,Vardo,1,US,1567741299,72,39.62,-77.74,68.0,6.93
324,Manicore,100,BR,1567741582,80,-5.81,-61.3,76.48,1.72
325,Quelimane,20,MZ,1567741582,88,-17.88,36.89,66.2,3.36
326,Mahibadhoo,52,MV,1567741582,75,3.78,72.97,83.41,7.76
327,Leningradskiy,42,RU,1567741583,92,69.38,178.42,43.27,5.57
328,Inirida,46,CO,1567741583,98,3.87,-67.92,72.37,2.95
329,Khatanga,100,RU,1567741584,97,71.98,102.47,46.09,4.16
330,Tiksi,100,RU,1567741584,67,71.64,128.87,43.92,8.3
331,Hay River,20,CA,1567741585,87,60.82,-115.79,50.0,4.09
332,Olinda,90,AU,1567741585,54,-37.84,145.39,60.01,14.99
333,Mikhaylovka,32,RU,1567741585,59,52.96,103.29,57.02,5.53
334,Umm Kaddadah,51,SD,1567741586,66,13.6,26.69,78.49,11.27
335,Guadalupe,75,MX,1567741586,83,25.68,-100.26,80.6,10.29
336,Mahebourg,40,MU,1567741586,93,-20.41,57.7,72.0,5.82
337,Likasi,95,CD,1567741586,41,-10.99,26.74,57.18,5.5
338,Bonthe,100,SL,1567741587,91,7.53,-12.5,76.17,5.97
339,Pasighat,93,IN,1567741588,83,28.06,95.33,76.3,0.83
340,Bonavista,0,CA,1567741588,82,48.65,-53.11,57.0,13.0
341,Tilichiki,100,RU,1567741588,61,60.47,166.1,54.45,5.99
342,Egvekinot,96,RU,1567741589,68,66.32,-179.17,45.9,2.98
343,Lompoc,1,US,1567741590,87,34.64,-120.46,72.0,8.05
344,Natal,40,BR,1567741590,88,-5.81,-35.21,73.4,8.05
345,Erzin,0,TR,1567741590,74,36.95,36.2,79.0,11.41
346,Tual,92,ID,1567741590,84,-5.67,132.75,76.41,14.81
347,Ulladulla,0,AU,1567741591,50,-35.36,150.48,75.2,23.04
348,Avera,40,US,1567741591,83,33.19,-82.53,82.4,3.62
349,Manta,0,RO,1567741591,85,45.1,24.1,54.84,1.77
350,Marawi,94,PH,1567741591,74,8.0,124.29,84.99,8.01
351,Glens Falls,1,US,1567741536,93,43.31,-73.64,57.99,2.44
352,Gigmoto,100,PH,1567741592,76,13.78,124.39,84.61,9.95
353,Ferkessedougou,79,CI,1567741592,91,9.6,-5.2,71.13,2.98
354,Chokurdakh,54,RU,1567741592,63,70.62,147.9,41.32,3.91
355,Sibolga,37,ID,1567741316,80,1.74,98.78,81.12,7.05
356,Salvador,40,BR,1567741517,69,-12.98,-38.48,78.8,9.17
357,San Luis,76,AR,1567741593,49,-33.3,-66.34,51.55,8.79
358,Malpe,75,IN,1567741593,94,13.35,74.72,78.8,12.75
359,Sambava,0,MG,1567741593,85,-14.27,50.17,63.9,3.96
360,Roseburg,40,US,1567741495,68,43.22,-123.34,73.0,4.7
361,Yalta,95,UA,1567741594,49,46.96,37.27,60.33,10.74
362,Biak,99,ID,1567741594,84,-0.91,122.88,68.94,4.32
363,Caronport,0,CA,1567741594,64,50.46,-105.81,60.01,1.99
364,Tarata,90,PE,1567741594,100,-17.47,-70.03,55.4,6.93
365,Tateyama,75,JP,1567741595,49,36.66,137.31,93.99,11.41
366,Cap Malheureux,40,MU,1567741595,93,-19.98,57.61,72.0,5.82
367,Leh,0,IN,1567741595,38,34.16,77.58,48.13,4.59
368,Bubaque,100,GW,1567741596,82,11.28,-15.83,80.26,7.45
369,Hirara,75,JP,1567741596,88,24.8,125.28,86.0,20.8
370,Nieuw Amsterdam,20,SR,1567741596,83,5.88,-55.08,79.0,8.05
371,San Ignacio,65,PE,1567741597,92,-5.15,-79.0,60.12,1.81
372,Saint-Joseph,90,FR,1567741597,72,43.56,6.97,69.8,4.61
373,Belyy Yar,20,RU,1567741597,87,53.6,91.39,50.0,4.47
